0   REVEREIT LLC , 01/01/2002 , 01/01/2004
0   SHETLER STUDIOS AND THEATRE INC , 01/01/2002 , 01/01/2004
4   DIGITAS LLC , 01/01/2002 , 01/01/2004
0   NIZAR ENTERPRISES INC , 01/01/2002 , 01/01/2004
42   LEKHA INC , 01/01/2002 , 01/01/2004
59   S UNIVERSAL TECHNOLOGY GROUP INC , 01/01/2002 , 01/01/2004
0   COREGENIX INC , 01/01/2002 , 01/01/2004
0   COHSHEEN ASSOCIATES LLC , 01/01/2002 , 01/01/2004
0   VENSYS TECHNOLOGIES INC , 01/01/2002 , 01/01/2004
19   EASY PROTECT INC , 01/01/2002 , 01/01/2004
0   CMAX-2000 INC , 01/01/2002 , 01/01/2004
9   TECHNICAL STRATEGIES INC , 01/01/2002 , 01/01/2004
0   SCARLET INFOTECH INC DBA EXPEDIEN , 01/01/2002 , 01/01/2004
0   INTEGRA MICROSYSTEM 1988 INC , 01/01/2002 , 01/01/2004
0   JIN GO GAE CATERING , 01/01/2002 , 01/01/2004
0   COADVENT TECHNOLOGIES INC , 01/01/2002 , 01/01/2004
0   REEF HOLDINGS CORP , 01/01/2002 , 01/01/2004
0   RESOURCE TRAC INC , 01/01/2002 , 01/01/2004
0   RUSLAN CONSULTING INC , 01/01/2002 , 01/01/2004
0   HETROSYS LLC , 01/01/2002 , 01/01/2004
0   PACIFIC FLOORING & STONE INC DBA , 01/01/2002 , 01/01/2004
0   DELASOFT INC , 01/01/2002 , 01/01/2004
0   "DELASOFT INC" , 01/01/2002 , 01/01/2004
0   SHIVAM INFOTECH INC , 01/01/2002 , 01/01/2004
0   PHARMA PAC LLC , 01/01/2002 , 01/01/2004
0   EVERISE INC , 01/01/2002 , 01/01/2004
0   HYPO REAL ESTATE CAPITAL CORP , 01/01/2002 , 01/01/2004
0   SARGA SOLUTIONS INC , 01/01/2002 , 01/01/2004
0   WHIZINFO TECHNOLOGIES INC , 01/01/2002 , 01/01/2004
0   AITIA INTERNATIONAL INC , 01/01/2002 , 01/01/2004
0   WEIDBEE INC , 01/01/2002 , 01/01/2004
2   MSN SOLUTIONS INC , 01/01/2002 , 01/01/2004
0   SAU 56 , 01/01/2002 , 01/01/2004
0   DEKA RESEARCH & DEVELOPMENT CORP , 01/01/2002 , 01/01/2004
286   CYTYC CORPORATION , 01/01/2002 , 01/01/2004
5   LONZA BIOLOGICS INC , 01/01/2002 , 01/01/2004
0   DEEEBCON INC , 01/01/2002 , 01/01/2004
0   HIGHDATA SOFTWARE CORPORATION , 01/01/2002 , 01/01/2004
0   DIALOGOS INTERNATIONAL LLC , 01/01/2002 , 01/01/2004
660   E&S TECHNOLOGIES INC , 01/01/2002 , 01/01/2004
88   CUSTOMER SYSTEMS INTERNATIONAL INC , 01/01/2002 , 01/01/2004
0   RADITECH LLC , 01/01/2002 , 01/01/2004
0   BHRIGUS INC , 01/01/2002 , 01/01/2004
0   EFILM DIGITAL LABORATORIES LLC , 01/01/2002 , 01/01/2004
0   LINGTECH CORP , 01/01/2002 , 01/01/2004
57   E-SATELLITE INC , 01/01/2002 , 01/01/2004
358   ON POWER USA INC , 01/01/2002 , 01/01/2004
2   WEB SOLUTIONS CONSULTING INC , 01/01/2002 , 01/01/2004
0   ABACUS CONSULTANCY SERVICES LLC , 01/01/2002 , 01/01/2004
0   BRAZIL HOUSE GRANITE INC , 01/01/2002 , 01/01/2004
36   TECHNOLOGY PEOPLE INC , 01/01/2002 , 01/01/2004
0   AIM COMPUTER CONSULTING L L C , 01/01/2002 , 01/01/2004
0   AIM COMPUTER CONSULTING LLC , 01/01/2002 , 01/01/2004
0   SUPERIOR HOTEL OF WEST TEXAS LLC , 01/01/2002 , 01/01/2004
0   GOLDSTONE TECHNOLOGIES LIMITED , 01/01/2002 , 01/01/2004
2   ALTUS TECHNOLOGIES INC , 01/01/2002 , 01/01/2004
0   DIVERSE LYNX LLC , 01/01/2002 , 01/01/2004
0   KLARUS INC , 01/01/2002 , 01/01/2004
0   DIGIBLITZ TECHNOLOGIES INC , 01/01/2002 , 01/01/2004
178   CODE MODEL MANAGEMENT LLC , 01/01/2002 , 01/01/2004
0   NATURE & HEALTH COMPANY , 01/01/2002 , 01/01/2004
0   SCANDENT GROUP INC , 01/01/2002 , 01/01/2004
